t,path_0,path_1,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19
2.000000000000000111e-01,2.447242827963685141e-01,9.294010544113641137e-01,1.303123918309941009e+00,-4.851093908237694152e-01,7.441799011567510336e-01,-2.427504911749817085e-01,-7.575464615541342706e-02,-9.784417525462908716e-02,-1.654927388462424862e-02,1.020227128934225957e+00,1.059774605982584939e-01,-1.622304016904247692e-01,-2.746328875124181557e-01,3.169204021556173423e-01,-8.021495799629433376e-01,-4.698310179171658052e-01,-6.588056015175212943e-02,-5.225872273669973644e-01,-1.290714417366245759e-01,-5.599399043395892894e-01
2.099999999999999922e-01,2.480839979177253130e-01,9.331061504039671606e-01,1.305512563344875643e+00,-4.885164806985568542e-01,7.486562834915476694e-01,-2.440889595823813041e-01,-7.534039930848562827e-02,-9.766378850629806041e-02,-1.551691992460054077e-02,1.023450004969362670e+00,1.082061042651834559e-01,-1.627331548422928653e-01,-2.762894000323485311e-01,3.207459617445729272e-01,-8.066605110219677854e-01,-4.731368551260656807e-01,-6.536218831234479054e-02,-5.262230338018227815e-01,-1.292227045430971999e-01,-5.637754629953083407e-01
2.200000000000000011e-01,2.516306312337255324e-01,9.370462444814647851e-01,1.308272927495265803e+00,-4.921275148472642469e-01,7.533623646534780560e-01,-2.455013750950283957e-01,-7.490046904632149949e-02,-9.747090614128936514e-02,-1.442412752271355833e-02,1.026925832334629973e+00,1.105616770153435707e-01,-1.632620691210831532e-01,-2.780383287076031440e-01,3.247809847080625478e-01,-8.115070858623982808e-01,-4.766391988209985886e-01,-6.481226766108587334e-02,-5.300806126090300552e-01,-1.293802104623906213e-01,-5.678499944669719302e-01
2.300000000000000100e-01,2.557042265241240009e-01,9.417235428042262102e-01,1.312152725422428556e+00,-4.963240346021846605e-01,7.587797640922103737e-01,-2.471255504575865514e-01,-7.440014006796766277e-02,-9.725381730101081978e-02,-1.317468186725277886e-02,1.031190347925051043e+00,1.132634470006191330e-01,-1.638722759116535144e-01,-2.800499092127834988e-01,3.294152941075547680e-01,-8.173550674041419883e-01,-4.807043716036041303e-01,-6.418580096306655824e-02,-5.345786885564610680e-01,-1.295647260775372733e-01,-5.726189573234413688e-01
2.399999999999999911e-01,2.606720315743004668e-01,9.476327532561206191e-01,1.317882256346116110e+00,-5.015318627836917731e-01,7.653921080701385771e-01,-2.491447528323694205e-01,-7.382825149163806111e-02,-9.702807332579818644e-02,-1.168530478296881531e-02,1.036770152155713109e+00,1.165399147584728623e-01,-1.646557473098921864e-01,-2.825420371208582915e-01,3.350699609790905309e-01,-8.248606698176660368e-01,-4.857442214318064555e-01,-6.345963413157217070e-02,-5.401766175198710052e-01,-1.298291808123375468e-01,-5.785739918731629405e-01
2.500000000000000000e-01,2.658659734269070429e-01,9.537697395109260290e-01,1.324001743324466407e+00,-5.069973541275488715e-01,7.722282529858076616e-01,-2.512754925732355038e-01,-7.323816775554727043e-02,-9.680180171948218892e-02,-1.013088548037017339e-02,1.042599500155222403e+00,1.199699845961775119e-01,-1.654897728811980662e-01,-2.851684345364646211e-01,3.409728275970586031e-01,-8.327197737118121612e-01,-4.910344133299240355e-01,-6.270738772170654507e-02,-5.460491069792506869e-01,-1.301180233683934540e-01,-5.848189533779497573e-01
2.600000000000000089e-01,2.716477797813264816e-01,9.606427016051048984e-01,1.331212314421523768e+00,-5.131485184140119893e-01,7.797792891799285586e-01,-2.536997671892711192e-01,-7.261607577007471448e-02,-9.658786097841959295e-02,-8.426012400905819044e-03,1.049215605531625739e+00,1.237814107531128582e-01,-1.664639462735612585e-01,-2.881463026479182954e-01,3.475374674844176059e-01,-8.415779191537969828e-01,-4.969889529976516673e-01,-6.190330004560957305e-02,-5.526575653013306999e-01,-1.304815665360770927e-01,-5.918470726823029660e-01
2.700000000000000178e-01,2.780346681622746785e-01,9.682605121173126772e-01,1.339481584908558842e+00,-5.200245459316826802e-01,7.880497555240334462e-01,-2.564453806001932845e-01,-7.196766212445576683e-02,-9.639498249612259151e-02,-6.568624925318895628e-03,1.056625433567338401e+00,1.279881172009282864e-01,-1.675959043347453326e-01,-2.915068667683486381e-01,3.547788465707472083e-01,-8.514235012752005005e-01,-5.036474917513483751e-01,-6.105171523214659307e-02,-5.600392700818767056e-01,-1.309328855509295231e-01,-5.996925914516695322e-01
2.800000000000000266e-01,2.850414376015784068e-01,9.766345363099419030e-01,1.348770010092841920e+00,-5.276671822664499301e-01,7.970430506508475732e-01,-2.595401971847128841e-01,-7.129595046456131680e-02,-9.622943968484601318e-02,-4.553817755823473187e-03,1.064838721558655887e+00,1.326053971051546487e-01,-1.689017607193696868e-01,-2.952820590010699076e-01,3.627075476268940557e-01,-8.622374425154432087e-01,-5.110523296586245712e-01,-6.015424562461186425e-02,-5.682336386017114993e-01,-1.314829956441079806e-01,-6.083912128662325447e-01
2.899999999999999800e-01,2.930309134720142650e-01,9.863100515223442999e-01,1.359598715230643018e+00,-5.365965837547321815e-01,8.072633277168238530e-01,-2.632276919936469839e-01,-7.059500230881914085e-02,-9.611814129159403086e-02,-2.290607412172950344e-03,1.074417456058623266e+00,1.378766172832894266e-01,-1.705055780528830778e-01,-2.997604109542728601e-01,3.717261739969586753e-01,-8.745709757584064770e-01,-5.197117633854618779e-01,-5.919042807618793423e-02,-5.777860500071381189e-01,-1.322058060655258993e-01,-6.185078026309137611e-01
